Busco_id	Status	Sequence	Gene_Start	Gene_End	Strand	Score	Length
195986at33208	Complete	ptg000016l	6891689	6899009	+	915.1	630
196950at33208	Complete	ptg000012l	3519157	3528633	+	760.9	706
197549at33208	Complete	ptg000008l	3984817	3978946	-	341.5	341
197652at33208	Missing
200997at33208	Complete	ptg000019l	7755073	7751161	-	679.9	499
201397at33208	Complete	ptg000004l	13487076	13478065	-	765.1	480
202545at33208	Complete	ptg000012l	15257688	15256060	-	578.8	387
203128at33208	Complete	ptg000010l	5668569	5665886	-	844.7	438
203698at33208	Complete	ptg000007l	5608370	5618783	+	1061.7	803
205220at33208	Complete	ptg000007l	5040732	5032975	-	981.5	651
206786at33208	Complete	ptg000016l	11360513	11366020	+	574.2	381
206858at33208	Complete	ptg000014l	5122498	5124504	+	647.8	505
207599at33208	Complete	ptg000008l	72000	73811	+	440.5	381
208219at33208	Complete	ptg000010l	2190175	2185560	-	428.3	457
210614at33208	Complete	ptg000001l	5257640	5269109	+	705.0	655
212972at33208	Complete	ptg000011l	4467444	4462425	-	769.6	587
214788at33208	Complete	ptg000003l	7091483	7093324	+	522.7	521
215654at33208	Complete	ptg000018l	5691530	5684144	-	633.3	433
216257at33208	Complete	ptg000008l	8094053	8087601	-	431.0	312
216563at33208	Complete	ptg000017l	5245566	5228471	-	276.5	279
218441at33208	Complete	ptg000010l	6548052	6544427	-	266.7	255
219795at33208	Complete	ptg000007l	1889348	1887654	-	373.7	517
219856at33208	Complete	ptg000005l	3004105	3008138	+	695.8	393
222489at33208	Complete	ptg000006l	9641502	9645185	+	543.1	296
223234at33208	Complete	ptg000016l	4307495	4306077	-	364.1	344
224280at33208	Complete	ptg000011l	4360694	4357981	-	810.9	439
226335at33208	Complete	ptg000017l	2828937	2822200	-	616.3	362
226941at33208	Complete	ptg000012l	5104654	5108501	+	575.3	397
227087at33208	Complete	ptg000017l	2552534	2565171	+	779.6	734
227453at33208	Complete	ptg000044l	4232133	4230373	-	672.2	441
227979at33208	Complete	ptg000044l	9376346	9388316	+	672.8	562
231157at33208	Complete	ptg000014l	13228268	13240266	+	518.2	412
231700at33208	Missing
234290at33208	Complete	ptg000018l	3134670	3132982	-	784.7	468
235149at33208	Complete	ptg000020l	9648740	9641446	-	396.5	473
235430at33208	Complete	ptg000002l	4739996	4737651	-	489.5	375
235458at33208	Complete	ptg000010l	2959901	2961874	+	429.6	326
239016at33208	Complete	ptg000007l	8933341	8937878	+	364.5	404
239149at33208	Complete	ptg000002l	2861293	2858243	-	205.1	281
239597at33208	Complete	ptg000008l	6021520	6024839	+	469.9	478
240437at33208	Complete	ptg000004l	8731495	8733313	+	441.2	253
244863at33208	Complete	ptg000006l	4306409	4289926	-	590.5	567
245482at33208	Complete	ptg000010l	3562176	3559024	-	589.7	411
245567at33208	Complete	ptg000044l	522479	525203	+	539.8	425
246241at33208	Complete	ptg000019l	6948737	6943564	-	546.9	394
247183at33208	Complete	ptg000003l	5272070	5279585	+	626.2	508
247905at33208	Complete	ptg000020l	7674494	7680749	+	240.0	358
249486at33208	Complete	ptg000004l	16697627	16696053	-	509.0	423
251076at33208	Complete	ptg000004l	12885518	12892556	+	531.6	306
251577at33208	Complete	ptg000005l	1187476	1192178	+	252.4	220
255117at33208	Complete	ptg000021l	840255	856277	+	1169.7	720
255242at33208	Complete	ptg000009l	1251591	1256027	+	326.4	319
255924at33208	Complete	ptg000016l	10298473	10291762	-	635.3	511
257141at33208	Complete	ptg000010l	10886989	10892764	+	410.2	308
257339at33208	Complete	ptg000012l	14028206	14021252	-	204.6	300
259581at33208	Complete	ptg000006l	5165336	5160005	-	247.1	405
260752at33208	Complete	ptg000011l	8074397	8070851	-	476.5	584
261284at33208	Complete	ptg000018l	2609897	2599689	-	706.4	616
261614at33208	Complete	ptg000001l	8590967	8582911	-	725.5	571
262757at33208	Complete	ptg000010l	14830319	14818986	-	256.8	327
266460at33208	Complete	ptg000004l	1800690	1802081	+	554.0	359
266469at33208	Complete	ptg000020l	14426243	14423637	-	193.8	217
266808at33208	Complete	ptg000008l	13892273	13896592	+	540.0	347
267439at33208	Complete	ptg000009l	3343992	3350947	+	723.3	426
268134at33208	Complete	ptg000010l	8359996	8369091	+	319.3	253
268397at33208	Complete	ptg000009l	4354819	4347763	-	826.9	620
270594at33208	Complete	ptg000019l	6303177	6309742	+	674.9	580
271297at33208	Complete	ptg000010l	9000045	9003749	+	365.1	232
271742at33208	Complete	ptg000027l	732631	736623	+	532.6	462
272605at33208	Complete	ptg000002l	2213423	2216077	+	546.2	412
273040at33208	Complete	ptg000017l	5054190	5057457	+	173.0	125
273367at33208	Complete	ptg000020l	13476634	13492381	+	183.2	247
273989at33208	Complete	ptg000007l	8918022	8913690	-	556.5	447
274044at33208	Complete	ptg000003l	16488315	16476490	-	564.8	684
274064at33208	Complete	ptg000005l	7310236	7308243	-	428.2	286
274769at33208	Complete	ptg000044l	2609961	2604030	-	537.1	384
274992at33208	Complete	ptg000012l	8781530	8776878	-	669.1	357
277935at33208	Complete	ptg000006l	9029480	9031996	+	448.7	565
278227at33208	Complete	ptg000007l	695410	681019	-	395.6	339
279631at33208	Complete	ptg000010l	10849428	10856190	+	669.8	624
279992at33208	Complete	ptg000008l	4444742	4446430	+	429.4	347
280914at33208	Complete	ptg000005l	6127614	6134439	+	380.3	549
281304at33208	Complete	ptg000020l	6247908	6234747	-	276.1	315
281693at33208	Complete	ptg000008l	10319595	10311171	-	785.9	590
283637at33208	Complete	ptg000004l	1238783	1242528	+	663.7	361
284059at33208	Complete	ptg000012l	14735778	14731733	-	301.1	242
285146at33208	Complete	ptg000012l	5880632	5888188	+	427.1	312
285902at33208	Complete	ptg000014l	16647869	16657387	+	390.5	403
285966at33208	Complete	ptg000014l	9860894	9863859	+	403.6	388
286553at33208	Complete	ptg000008l	12146750	12147994	+	283.8	290
289235at33208	Complete	ptg000008l	10825616	10822990	-	183.5	267
289928at33208	Complete	ptg000019l	4286950	4294464	+	229.0	333
291505at33208	Complete	ptg000012l	14962443	14968013	+	602.2	445
291875at33208	Complete	ptg000006l	16117029	16115218	-	445.9	537
295556at33208	Complete	ptg000010l	11777483	11766211	-	367.2	688
295775at33208	Complete	ptg000020l	1435407	1437948	+	276.0	279
300303at33208	Complete	ptg000019l	6329657	6335534	+	380.7	401
301572at33208	Complete	ptg000010l	8329750	8306270	-	640.0	398
302186at33208	Complete	ptg000008l	6362946	6359902	-	264.4	366
302279at33208	Complete	ptg000011l	6771906	6769340	-	466.2	302
302921at33208	Complete	ptg000002l	7753771	7750636	-	105.5	178
303117at33208	Complete	ptg000004l	4812008	4808683	-	384.6	336
304388at33208	Complete	ptg000005l	9926964	9931914	+	368.8	335
305260at33208	Complete	ptg000008l	1173873	1177365	+	582.8	348
306101at33208	Complete	ptg000015l	4354416	4355618	+	346.3	291
307109at33208	Complete	ptg000005l	1534629	1530632	-	531.6	347
308610at33208	Complete	ptg000010l	10241546	10271363	+	566.1	363
311438at33208	Complete	ptg000002l	5242220	5236735	-	359.0	256
311758at33208	Complete	ptg000007l	8338117	8333267	-	540.3	402
311761at33208	Complete	ptg000012l	3600669	3603190	+	462.9	492
312577at33208	Complete	ptg000012l	943248	940663	-	257.4	290
313091at33208	Complete	ptg000002l	7343136	7339606	-	493.0	301
315044at33208	Complete	ptg000014l	4095697	4098188	+	350.2	346
315393at33208	Complete	ptg000006l	10167585	10175050	+	503.0	314
317470at33208	Complete	ptg000003l	5526099	5531354	+	378.9	269
318483at33208	Complete	ptg000010l	6787047	6793385	+	489.3	321
318532at33208	Complete	ptg000008l	12619145	12617634	-	628.8	336
319574at33208	Complete	ptg000015l	8561910	8576137	+	304.4	241
320390at33208	Complete	ptg000004l	3897008	3914529	+	577.0	461
321332at33208	Complete	ptg000003l	5712164	5713903	+	436.8	498
323399at33208	Complete	ptg000012l	686952	679484	-	497.0	429
323473at33208	Complete	ptg000019l	9577888	9570109	-	503.9	286
324249at33208	Complete	ptg000003l	8120602	8124945	+	295.1	342
325183at33208	Complete	ptg000017l	1743286	1747406	+	557.2	345
327301at33208	Complete	ptg000003l	5374599	5372301	-	298.0	252
331112at33208	Complete	ptg000003l	3773770	3775542	+	555.7	406
331186at33208	Complete	ptg000020l	1434768	1426275	-	422.5	388
332870at33208	Complete	ptg000008l	3182055	3204163	+	249.2	194
333062at33208	Complete	ptg000004l	7645262	7639123	-	545.0	360
333800at33208	Complete	ptg000018l	1501230	1508448	+	581.0	567
334272at33208	Complete	ptg000044l	3831344	3808165	-	343.6	341
334331at33208	Complete	ptg000044l	9406241	9417946	+	715.0	476
334336at33208	Complete	ptg000019l	4724467	4738143	+	561.2	445
334342at33208	Complete	ptg000020l	8642969	8633946	-	291.4	429
334764at33208	Complete	ptg000015l	257729	262323	+	351.9	295
334820at33208	Complete	ptg000044l	2074321	2069812	-	246.7	305
335107at33208	Complete	ptg000017l	1287094	1310173	+	360.3	267
336647at33208	Complete	ptg000003l	5160510	5168632	+	371.9	517
338191at33208	Complete	ptg000009l	45728	28923	-	796.1	478
338482at33208	Complete	ptg000012l	3753103	3754764	+	496.7	442
339127at33208	Complete	ptg000012l	15930536	15938819	+	409.1	431
339319at33208	Complete	ptg000004l	6037982	6030261	-	160.7	257
340558at33208	Complete	ptg000005l	6257088	6260032	+	526.7	329
340577at33208	Complete	ptg000010l	10019134	10013862	-	340.5	451
344338at33208	Complete	ptg000012l	13358509	13359699	+	434.0	306
344346at33208	Complete	ptg000008l	6887820	6889762	+	277.8	341
344442at33208	Complete	ptg000008l	4449913	4447205	-	277.1	268
344581at33208	Complete	ptg000005l	8763973	8764956	+	369.7	243
344611at33208	Complete	ptg000013l	12451705	12450719	-	273.3	257
345099at33208	Complete	ptg000003l	8113164	8119743	+	707.7	645
345959at33208	Complete	ptg000020l	6186845	6191782	+	198.2	301
346541at33208	Complete	ptg000014l	4362487	4367582	+	598.8	447
347600at33208	Complete	ptg000009l	8597358	8595208	-	447.1	307
348449at33208	Complete	ptg000044l	5561367	5570997	+	400.3	305
348544at33208	Complete	ptg000001l	689755	697718	+	420.7	323
348761at33208	Complete	ptg000007l	3111620	3108917	-	383.3	237
349064at33208	Complete	ptg000016l	10212100	10213550	+	457.1	306
349627at33208	Complete	ptg000012l	13042211	13044548	+	289.7	257
351226at33208	Complete	ptg000014l	12132663	12128796	-	161.2	216
352600at33208	Complete	ptg000003l	15918634	15919743	+	522.8	297
352854at33208	Complete	ptg000017l	5446523	5453371	+	540.9	376
353286at33208	Complete	ptg000016l	4301068	4304472	+	363.2	300
353768at33208	Complete	ptg000008l	7296998	7294271	-	401.3	321
354829at33208	Complete	ptg000010l	9513645	9515786	+	557.4	279
354949at33208	Complete	ptg000004l	5725744	5718250	-	380.5	285
355210at33208	Complete	ptg000015l	2085780	2092425	+	428.6	370
355739at33208	Complete	ptg000019l	6187252	6188440	+	299.9	247
356175at33208	Complete	ptg000003l	1086766	1089998	+	275.1	260
356334at33208	Complete	ptg000019l	2421210	2411648	-	764.8	728
356503at33208	Complete	ptg000008l	9431001	9428736	-	368.9	261
357580at33208	Complete	ptg000017l	506530	510139	+	389.4	252
359075at33208	Complete	ptg000007l	4768151	4773575	+	458.7	358
359324at33208	Complete	ptg000013l	10275723	10278950	+	262.3	211
359369at33208	Complete	ptg000011l	4407271	4408984	+	376.7	261
359532at33208	Complete	ptg000005l	10307619	10311721	+	473.6	430
360379at33208	Complete	ptg000015l	4200768	4201724	+	284.4	255
360753at33208	Complete	ptg000010l	13399282	13396342	-	289.5	248
361100at33208	Complete	ptg000012l	2892454	2895338	+	424.3	269
361203at33208	Complete	ptg000014l	6056941	6053792	-	595.5	387
361216at33208	Complete	ptg000003l	8440094	8437985	-	347.8	312
363634at33208	Complete	ptg000010l	2658562	2661459	+	151.8	199
363840at33208	Complete	ptg000019l	3088782	3084992	-	263.4	316
363851at33208	Complete	ptg000012l	3679853	3685252	+	356.3	315
364383at33208	Complete	ptg000003l	6426286	6422725	-	381.6	325
364694at33208	Complete	ptg000001l	10255554	10244573	-	697.1	501
365323at33208	Complete	ptg000010l	6250453	6245782	-	401.2	294
365561at33208	Complete	ptg000005l	6093786	6097802	+	519.8	320
365691at33208	Complete	ptg000016l	7929682	7926840	-	213.8	243
366124at33208	Complete	ptg000009l	12649547	12648534	-	301.1	239
366814at33208	Complete	ptg000003l	13971982	13978364	+	618.2	373
366936at33208	Complete	ptg000044l	6359253	6358284	-	455.9	217
367493at33208	Complete	ptg000005l	6808292	6798488	-	369.5	336
367551at33208	Complete	ptg000012l	12386040	12377583	-	604.1	416
367596at33208	Complete	ptg000009l	9068240	9072091	+	630.9	509
367957at33208	Complete	ptg000014l	4078926	4081364	+	419.8	309
368565at33208	Complete	ptg000012l	14942167	14945922	+	521.9	339
368670at33208	Complete	ptg000004l	10625886	10634841	+	319.1	193
368875at33208	Complete	ptg000044l	157665	69619	-	263.4	197
371241at33208	Complete	ptg000002l	7294569	7290265	-	240.7	176
371297at33208	Complete	ptg000006l	6071119	6070055	-	560.7	328
371526at33208	Complete	ptg000015l	3753610	3754500	+	492.5	247
372257at33208	Complete	ptg000044l	2097974	2100783	+	260.4	206
372707at33208	Complete	ptg000017l	7411877	7416561	+	322.7	239
373040at33208	Complete	ptg000002l	5733642	5736684	+	385.1	226
376982at33208	Complete	ptg000017l	5441984	5440874	-	494.4	251
378033at33208	Complete	ptg000007l	7989580	7987697	-	448.9	437
378316at33208	Complete	ptg000009l	12699565	12696388	-	463.3	275
378768at33208	Complete	ptg000005l	8777869	8762276	-	448.1	277
378913at33208	Complete	ptg000011l	1491105	1500527	+	166.2	205
379076at33208	Complete	ptg000020l	6131152	6139415	+	145.2	199
379636at33208	Complete	ptg000010l	15065825	15058454	-	295.4	296
379771at33208	Complete	ptg000003l	8103729	8099331	-	252.5	277
380583at33208	Complete	ptg000014l	11526537	11523666	-	486.5	273
381303at33208	Complete	ptg000015l	4152374	4153991	+	240.4	264
382000at33208	Complete	ptg000001l	5229219	5222463	-	121.2	178
382262at33208	Complete	ptg000001l	3558821	3551112	-	114.4	272
382750at33208	Complete	ptg000012l	3163469	3158553	-	415.5	339
383313at33208	Complete	ptg000012l	4339922	4341127	+	389.3	316
384187at33208	Complete	ptg000003l	13343509	13349044	+	656.1	427
386666at33208	Complete	ptg000019l	9006865	9031762	+	148.1	199
387079at33208	Complete	ptg000005l	5783186	5780267	-	289.3	236
387117at33208	Complete	ptg000004l	18277	19583	+	141.7	157
387878at33208	Complete	ptg000019l	8260734	8265336	+	395.0	355
389367at33208	Complete	ptg000008l	2616363	2619013	+	394.7	257
389527at33208	Complete	ptg000004l	2227005	2220008	-	688.3	590
389570at33208	Complete	ptg000012l	12779171	12777286	-	476.3	323
389591at33208	Complete	ptg000016l	8936505	8937814	+	273.4	223
390192at33208	Complete	ptg000015l	3402026	3403288	+	422.6	317
390402at33208	Complete	ptg000010l	3649830	3647453	-	354.5	236
391896at33208	Complete	ptg000003l	8722676	8725148	+	404.3	268
393219at33208	Complete	ptg000016l	2203262	2204344	+	255.3	223
393291at33208	Complete	ptg000007l	3142604	3133940	-	448.5	302
393419at33208	Complete	ptg000001l	5811438	5813042	+	507.7	426
393895at33208	Complete	ptg000003l	6730097	6731581	+	758.7	428
395147at33208	Complete	ptg000005l	5428048	5424573	-	332.8	277
395183at33208	Complete	ptg000014l	8916078	8919005	+	286.0	172
395556at33208	Complete	ptg000005l	7741484	7727957	-	323.2	237
395919at33208	Complete	ptg000008l	6108599	6101335	-	348.5	274
395948at33208	Complete	ptg000020l	528653	510461	-	360.9	339
396237at33208	Missing
397019at33208	Complete	ptg000004l	658111	653799	-	559.9	320
397659at33208	Complete	ptg000018l	1592420	1595779	+	320.1	254
398013at33208	Complete	ptg000003l	5328296	5329240	+	524.8	279
398202at33208	Complete	ptg000011l	3951906	3949117	-	286.2	258
398607at33208	Complete	ptg000020l	95993	53157	-	272.2	190
399092at33208	Complete	ptg000007l	6288975	6286567	-	284.0	193
399439at33208	Complete	ptg000016l	8954690	8953566	-	181.3	181
400042at33208	Complete	ptg000003l	1801634	1796179	-	295.3	279
401196at33208	Complete	ptg000015l	8223478	8221319	-	231.2	166
401220at33208	Complete	ptg000003l	15604464	15603181	-	502.8	367
401679at33208	Complete	ptg000017l	5445080	5443660	-	98.1	94
401779at33208	Complete	ptg000044l	3496966	3494670	-	472.5	274
403171at33208	Complete	ptg000012l	11589485	11584099	-	352.9	422
403817at33208	Complete	ptg000007l	8494097	8498287	+	55.1	99
404988at33208	Complete	ptg000008l	13814997	13813570	-	260.2	306
405257at33208	Complete	ptg000012l	5836510	5831656	-	308.8	353
406927at33208	Complete	ptg000004l	5973294	5962940	-	176.0	242
407472at33208	Complete	ptg000006l	2782370	2785799	+	450.8	412
409006at33208	Complete	ptg000012l	11988708	11977183	-	306.0	244
409186at33208	Complete	ptg000012l	6080070	6073999	-	535.7	487
411515at33208	Complete	ptg000006l	4750011	4747694	-	367.5	257
411664at33208	Complete	ptg000009l	9357279	9359508	+	120.5	174
411755at33208	Complete	ptg000017l	2387272	2395111	+	495.1	375
412370at33208	Complete	ptg000012l	13837727	13845172	+	128.4	174
412542at33208	Complete	ptg000005l	3958553	3961114	+	360.6	228
412930at33208	Complete	ptg000010l	1726993	1722165	-	358.1	289
413334at33208	Complete	ptg000008l	7297621	7302696	+	264.3	276
414001at33208	Complete	ptg000012l	12786138	12783347	-	481.2	276
414571at33208	Complete	ptg000044l	4621728	4619260	-	418.5	233
414579at33208	Complete	ptg000016l	1941633	1940731	-	371.2	248
414603at33208	Complete	ptg000014l	2291886	2297106	+	590.0	485
415618at33208	Complete	ptg000007l	9009479	9015827	+	166.0	176
416175at33208	Complete	ptg000003l	13038276	13041021	+	336.3	263
418979at33208	Complete	ptg000009l	3780186	3785371	+	221.2	148
419502at33208	Complete	ptg000007l	4073317	4072148	-	267.5	210
419914at33208	Complete	ptg000012l	5055356	5051668	-	398.3	329
421396at33208	Complete	ptg000005l	5924207	5926950	+	354.6	238
421685at33208	Complete	ptg000019l	5171164	5168834	-	233.2	196
421732at33208	Complete	ptg000012l	1766573	1762513	-	194.2	272
422158at33208	Complete	ptg000020l	10902594	10899638	-	463.8	280
422751at33208	Complete	ptg000014l	5305749	5303606	-	505.7	350
423799at33208	Complete	ptg000003l	7092270	7089681	-	373.8	253
423848at33208	Complete	ptg000009l	11772126	11767810	-	283.8	234
424392at33208	Complete	ptg000011l	4331475	4326800	-	407.8	228
424569at33208	Complete	ptg000020l	16049918	16053581	+	272.3	158
424646at33208	Complete	ptg000012l	8287992	8279260	-	156.0	209
427349at33208	Complete	ptg000020l	12576635	12574496	-	374.4	234
427789at33208	Complete	ptg000005l	5428570	5433965	+	596.2	397
428202at33208	Complete	ptg000020l	12816076	12812214	-	560.9	352
428754at33208	Complete	ptg000044l	2547485	2545425	-	297.0	359
429011at33208	Complete	ptg000002l	5383176	5384014	+	203.1	168
429274at33208	Complete	ptg000004l	1317057	1314515	-	252.0	203
429751at33208	Complete	ptg000012l	10448424	10452412	+	339.7	391
430701at33208	Complete	ptg000044l	6315961	6314834	-	222.4	187
432050at33208	Duplicated	ptg000005l	10237277	10240235	+	448.5	243
432050at33208	Duplicated	ptg000020l	15949912	15950775	+	386.3	215
432155at33208	Complete	ptg000003l	2605063	2606727	+	214.5	168
432287at33208	Missing
432522at33208	Complete	ptg000017l	8460610	8461778	+	146.8	121
433216at33208	Complete	ptg000002l	5732903	5731134	-	253.4	182
433606at33208	Complete	ptg000003l	5711266	5709606	-	387.0	222
434068at33208	Complete	ptg000008l	11904556	11912520	+	565.0	415
434863at33208	Complete	ptg000006l	4175711	4178053	+	336.3	245
435253at33208	Complete	ptg000003l	16351255	16357263	+	133.5	306
435678at33208	Complete	ptg000018l	1316506	1320881	+	419.7	348
435921at33208	Complete	ptg000001l	5815317	5813867	-	182.1	129
435939at33208	Complete	ptg000017l	5805773	5804363	-	194.0	164
436007at33208	Complete	ptg000009l	13014988	13018625	+	594.5	409
436098at33208	Complete	ptg000009l	10977483	10932255	-	223.1	200
436539at33208	Complete	ptg000020l	12892010	12894014	+	249.7	188
437653at33208	Complete	ptg000001l	5221031	5221846	+	201.4	136
438133at33208	Complete	ptg000016l	1567648	1560565	-	511.6	302
438433at33208	Complete	ptg000020l	1910478	1912511	+	345.8	201
438453at33208	Complete	ptg000012l	6060695	6061705	+	432.1	242
439736at33208	Complete	ptg000011l	6026696	6021642	-	559.7	369
440195at33208	Complete	ptg000011l	4481586	4482720	+	269.9	203
440493at33208	Complete	ptg000005l	5440073	5441518	+	266.2	268
441575at33208	Complete	ptg000019l	9121493	9128784	+	518.4	601
442169at33208	Complete	ptg000017l	7931105	7932946	+	388.7	329
442203at33208	Complete	ptg000020l	508601	503558	-	433.9	346
442823at33208	Complete	ptg000017l	5217543	5221569	+	401.7	365
443305at33208	Complete	ptg000019l	10481274	10475096	-	336.9	391
443518at33208	Complete	ptg000019l	3512786	3519003	+	394.7	256
443659at33208	Complete	ptg000008l	6883217	6882090	-	218.3	145
443928at33208	Complete	ptg000005l	7713533	7712061	-	429.3	300
444160at33208	Complete	ptg000010l	5021244	5019439	-	313.7	196
444231at33208	Complete	ptg000044l	854117	852381	-	150.1	126
445031at33208	Complete	ptg000013l	532421	528486	-	376.5	310
445034at33208	Complete	ptg000001l	5775661	5778352	+	431.0	316
445091at33208	Complete	ptg000004l	1221588	1224281	+	274.5	280
446000at33208	Complete	ptg000012l	560716	557346	-	309.5	252
446031at33208	Complete	ptg000020l	7716809	7719868	+	294.9	240
447320at33208	Complete	ptg000010l	2106025	2104069	-	241.3	240
447400at33208	Complete	ptg000010l	11086784	11083747	-	164.0	157
448196at33208	Complete	ptg000006l	559995	564656	+	373.5	229
448514at33208	Complete	ptg000011l	2672287	2665819	-	366.0	271
449056at33208	Complete	ptg000004l	14776763	14775033	-	276.3	187
449139at33208	Complete	ptg000018l	8967223	8972754	+	377.5	240
449189at33208	Complete	ptg000009l	10856956	10861682	+	614.0	408
